Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Day,WeekOfYear,Quarter,IsWeekend,CompetitionAge,PromoDuration,PreviousDaySales,PreviousWeekSales,Rolling7DaySales
84,5,2014-10-04,12622,1430,1,0,0,0,a,c,11810.0,8.0,2014.0,0,0.0,0.0,,,,,,,,2014,10,4,40,4,1,0.0,2014.0,0.0,9734.0,11230.285714285714
1013,0,2013-03-25,6443,675,1,1,0,1,a,a,630.0,2.0,2015.0,1,31.0,2013.0,"Feb,May,Aug,Nov",,,,,,,2013,3,25,13,1,0,0.0,0.0,0.0,7204.0,3842.142857142857
803,1,2013-06-18,6884,532,1,1,0,0,d,a,1760.0,0.0,0.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",,,,,,,2013,6,18,25,2,0,2013.0,0.0,8669.0,5134.0,5251.571428571428
867,2,2015-06-10,3716,376,1,0,0,0,d,c,21810.0,9.0,2012.0,0,0.0,0.0,,,,,,,,2015,6,10,24,2,0,3.0,2015.0,4136.0,5608.0,4151.285714285715
278,0,2013-08-05,10818,1169,1,0,0,0,a,c,9260.0,2.0,2010.0,0,0.0,0.0,,,,,,,,2013,8,5,32,3,0,3.0,2013.0,0.0,11603.0,8063.857142857143
466,6,2014-12-14,0,0,0,0,0,0,a,c,3110.0,3.0,2003.0,0,0.0,0.0,,,,,,,,2014,12,14,50,4,1,11.0,2014.0,5077.0,0.0,6173.428571428572
733,1,2013-04-09,14802,3425,1,1,0,0,b,b,860.0,10.0,1999.0,0,0.0,0.0,,,,,,,,2013,4,9,15,2,0,14.0,2013.0,15122.0,14426.0,13830.714285714286
968,4,2013-05-31,9455,1064,1,1,0,0,c,a,1190.0,0.0,0.0,0,0.0,0.0,,,,,,,,2013,5,31,22,2,0,2013.0,2013.0,6834.0,6365.0,6384.285714285715
861,1,2013-04-02,3431,551,1,0,0,1,c,c,740.0,0.0,0.0,1,14.0,2013.0,"Mar,Jun,Sept,Dec",,,,,,,2013,4,2,14,2,0,2013.0,0.0,0.0,3472.0,2227.5714285714284
593,6,2013-12-01,0,0,0,0,0,0,a,c,33060.0,3.0,2010.0,0,0.0,0.0,,,,,,,,2013,12,1,48,4,1,3.0,2013.0,11808.0,0.0,8750.857142857143
823,4,2013-06-28,4836,501,1,0,0,1,a,c,16210.0,11.0,2010.0,0,0.0,0.0,,,,,,,,2013,6,28,26,2,0,3.0,2013.0,4457.0,7077.0,3831.857142857143
715,3,2014-03-27,4737,585,1,0,0,0,a,a,14810.0,6.0,2014.0,0,0.0,0.0,,,,,,,,2014,3,27,13,1,0,0.0,2014.0,5561.0,6852.0,4134.571428571428
