Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,ReorderPoint,NeedReorder,RecommendedOrderQty
2022-01-01,S001,P0006,Groceries,South,138,128,102,139.82,76.83,10,Sunny,1,79.35,Winter,167.784,1,29.783999999999992
2022-01-01,S001,P0008,Clothing,North,380,312,54,329.73,97.99,5,Cloudy,0,100.09,Spring,395.676,1,15.675999999999988
2022-01-01,S001,P0009,Electronics,West,183,175,135,174.15,20.74,10,Cloudy,0,17.66,Autumn,208.98,1,25.97999999999999
2022-01-01,S001,P0015,Clothing,North,379,369,154,363.46,92.99,15,Snowy,0,95.8,Winter,436.152,1,57.15199999999999
2022-01-01,S002,P0007,Groceries,West,460,393,70,401.48,91.13,5,Sunny,0,93.33,Summer,481.776,1,21.77600000000001
2022-01-01,S002,P0010,Electronics,North,157,126,181,132.75,60.84,0,Snowy,1,65.22,Winter,159.29999999999998,1,2.299999999999983
2022-01-01,S002,P0017,Groceries,West,398,373,92,390.89,11.71,20,Cloudy,1,10.0,Winter,469.068,1,71.06799999999998
2022-01-01,S003,P0010,Groceries,South,166,126,124,141.34,97.09,5,Rainy,1,95.8,Summer,169.608,1,3.608000000000004
2022-01-01,S003,P0014,Electronics,South,398,369,26,387.88,79.03,5,Rainy,0,82.51,Spring,465.45599999999996,1,67.45599999999996
2022-01-01,S003,P0020,Electronics,North,431,370,99,387.57,95.85,20,Cloudy,1,95.7,Spring,465.08399999999995,1,34.083999999999946
2022-01-01,S004,P0006,Electronics,East,470,382,195,396.4,41.35,10,Snowy,0,39.86,Summer,475.67999999999995,1,5.67999999999995
2022-01-01,S005,P0006,Groceries,North,185,176,163,174.06,60.76,20,Cloudy,0,61.15,Summer,208.87199999999999,1,23.871999999999986
2022-01-01,S005,P0017,Electronics,East,388,371,98,390.04,98.31,15,Sunny,1,102.42,Spring,468.048,1,80.048
2022-01-01,S005,P0020,Electronics,South,108,101,52,105.92,11.04,10,Snowy,1,9.14,Autumn,127.104,1,19.104
2022-01-02,S001,P0003,Clothing,South,488,464,163,463.12,70.99,10,Snowy,0,72.93,Summer,555.744,1,67.74400000000003
2022-01-02,S001,P0005,Electronics,East,238,200,40,204.3,23.76,15,Sunny,1,19.19,Summer,245.16,1,7.159999999999997
2022-01-02,S001,P0020,Electronics,North,221,174,168,187.49,97.88,0,Snowy,0,99.5,Autumn,224.988,1,3.9879999999999995
2022-01-02,S002,P0001,Electronics,West,402,343,141,339.04,66.57,20,Rainy,1,63.92,Summer,406.848,1,4.848000000000013
2022-01-02,S002,P0013,Toys,North,287,278,92,279.91,92.57,10,Sunny,1,97.09,Summer,335.892,1,48.891999999999996
2022-01-02,S002,P0017,Clothing,West,193,176,38,174.49,46.04,5,Rainy,1,41.4,Autumn,209.388,1,16.388000000000005
2022-01-02,S002,P0018,Groceries,East,124,124,46,116.05,21.07,10,Sunny,0,21.71,Autumn,139.26,1,15.259999999999991
2022-01-02,S002,P0019,Toys,East,492,479,132,469.74,79.11,0,Cloudy,0,80.06,Winter,563.688,1,71.68799999999999
2022-01-02,S003,P0014,Toys,North,420,368,71,384.47,66.51,0,Cloudy,0,70.84,Spring,461.36400000000003,1,41.36400000000003
2022-01-02,S004,P0009,Furniture,South,110,90,28,103.6,12.4,20,Snowy,0,8.56,Autumn,124.32,1,14.319999999999993
2022-01-02,S004,P0013,Clothing,West,198,184,161,191.55,85.35,10,Rainy,1,80.79,Spring,229.86,1,31.860000000000014
2022-01-02,S004,P0016,Clothing,West,215,178,111,180.76,61.41,0,Sunny,0,61.32,Spring,216.91199999999998,1,1.9119999999999777
2022-01-02,S005,P0003,Toys,West,397,333,35,336.02,80.88,20,Rainy,1,84.97,Winter,403.224,1,6.2239999999999895
2022-01-02,S005,P0009,Electronics,West,119,90,76,99.63,78.08,10,Sunny,0,73.69,Winter,119.55599999999998,1,0.5559999999999832
2022-01-02,S005,P0016,Groceries,East,487,437,106,432.86,43.64,15,Cloudy,1,39.13,Autumn,519.432,1,32.432000000000016
2022-01-02,S005,P0017,Toys,North,418,377,76,383.26,84.85,20,Sunny,1,84.29,Summer,459.912,1,41.91199999999998
2022-01-02,S005,P0018,Clothing,West,89,83,113,78.67,47.05,15,Rainy,1,47.89,Spring,94.404,1,5.403999999999996
2022-01-02,S005,P0020,Clothing,South,211,183,189,190.11,93.95,10,Sunny,1,98.89,Spring,228.132,1,17.132000000000005
2022-01-03,S001,P0003,Toys,South,183,176,124,168.28,26.03,10,Rainy,0,29.38,Winter,201.936,1,18.936000000000007
2022-01-03,S001,P0004,Electronics,East,239,214,51,228.51,10.19,0,Cloudy,1,7.82,Winter,274.212,1,35.21199999999999
2022-01-03,S001,P0014,Toys,South,302,242,145,255.54,32.28,10,Rainy,1,30.1,Winter,306.64799999999997,1,4.647999999999968
2022-01-03,S001,P0019,Furniture,South,240,193,171,203.45,56.91,0,Sunny,1,54.2,Spring,244.14,1,4.139999999999986
2022-01-03,S002,P0005,Groceries,West,327,313,194,326.56,29.74,0,Snowy,1,31.67,Winter,391.872,1,64.87200000000001
2022-01-03,S002,P0006,Furniture,North,388,352,199,365.82,27.64,5,Snowy,0,27.19,Summer,438.984,1,50.98399999999998
2022-01-03,S002,P0013,Groceries,West,303,270,164,268.73,65.89,10,Cloudy,0,64.52,Summer,322.476,1,19.476
2022-01-03,S002,P0015,Furniture,West,193,187,57,177.8,46.25,0,Snowy,0,49.2,Spring,213.36,1,20.360000000000014
2022-01-03,S003,P0002,Groceries,North,405,353,74,355.08,17.36,0,Cloudy,1,17.32,Spring,426.09599999999995,1,21.095999999999947
2022-01-03,S003,P0003,Electronics,West,290,255,118,246.78,42.7,20,Snowy,0,40.38,Autumn,296.13599999999997,1,6.135999999999967
2022-01-03,S003,P0010,Furniture,South,186,175,75,177.8,95.89,0,Rainy,1,96.19,Autumn,213.36,1,27.360000000000014
